X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-10	0	-900	9.02522e-06	1.11666e-06	3.67678e-05
-9	0	-900	9.33085e-06	2.14181e-06	3.57026e-05
-8	0	-900	9.5811e-06	1.88466e-06	3.73056e-05
-7	0	-900	8.92345e-06	1.01738e-06	3.50343e-05
-6	0	-900	8.79023e-06	2.15393e-06	3.70906e-05
-5	0	-900	1.03563e-05	3.28404e-06	3.71331e-05
-4	0	-900	7.36578e-06	1.70251e-06	3.5781e-05
-3	0	-900	9.61e-06	1.28052e-06	3.62216e-05
-2	0	-900	8.51254e-06	1.95975e-06	3.47319e-05
-1	0	-900	6.78614e-06	2.53915e-06	3.46507e-05
0	0	-900	6.19564e-06	2.1999e-06	3.39795e-05
1	0	-900	4.71142e-06	2.57413e-06	3.42225e-05
2	0	-900	5.64247e-06	1.99959e-06	3.4357e-05
3	0	-900	6.69913e-06	1.99522e-06	3.519e-05
4	0	-900	5.96738e-06	2.27e-06	3.50224e-05
5	0	-900	6.37133e-06	3.15904e-06	3.47174e-05
6	0	-900	6.21412e-06	2.41543e-06	3.39813e-05
7	0	-900	4.5794e-06	2.81249e-06	3.2679e-05
8	0	-900	4.74316e-06	1.91718e-06	3.26373e-05
9	0	-900	4.49067e-06	2.09223e-06	3.39712e-05
10	0	-900	5.76502e-06	2.31647e-06	3.35644e-05
-10	0	-899.5	8.84442e-06	1.22278e-06	3.62917e-05
-9	0	-899.5	9.01984e-06	1.85467e-06	3.56219e-05
-8	0	-899.5	9.33597e-06	1.94301e-06	3.71111e-05
-7	0	-899.5	8.78633e-06	1.33856e-06	3.52177e-05
-6	0	-899.5	8.34966e-06	2.28242e-06	3.64006e-05
-5	0	-899.5	9.58226e-06	3.097e-06	3.65834e-05
-4	0	-899.5	8.02025e-06	1.69037e-06	3.54893e-05
-3	0	-899.5	8.72814e-06	1.59094e-06	3.59584e-05
-2	0	-899.5	8.04599e-06	2.07753e-06	3.53989e-05
-1	0	-899.5	6.95447e-06	2.28657e-06	3.46769e-05
0	0	-899.5	5.8789e-06	2.04613e-06	3.38819e-05
1	0	-899.5	4.94349e-06	3.2078e-06	3.42005e-05
2	0	-899.5	5.60115e-06	1.87642e-06	3.44273e-05
3	0	-899.5	6.54733e-06	1.78942e-06	3.47295e-05
4	0	-899.5	6.03757e-06	2.08271e-06	3.47395e-05
5	0	-899.5	5.47257e-06	3.08233e-06	3.46452e-05
6	0	-899.5	5.95192e-06	2.13942e-06	3.39661e-05
7	0	-899.5	4.90843e-06	2.81309e-06	3.24285e-05
8	0	-899.5	4.49293e-06	1.81256e-06	3.30126e-05
9	0	-899.5	5.10947e-06	1.70652e-06	3.41104e-05
10	0	-899.5	6.01656e-06	2.16341e-06	3.36157e-05
-10	0	-899	8.52713e-06	1.25158e-06	3.66087e-05
-9	0	-899	9.04323e-06	1.75534e-06	3.54974e-05
-8	0	-899	9.31327e-06	1.80227e-06	3.69541e-05
-7	0	-899	8.20873e-06	1.57291e-06	3.48927e-05
-6	0	-899	8.54933e-06	2.34694e-06	3.67348e-05
-5	0	-899	9.40933e-06	2.87386e-06	3.65653e-05
-4	0	-899	7.419e-06	2.02399e-06	3.55302e-05
-3	0	-899	8.49997e-06	1.4095e-06	3.58842e-05
-2	0	-899	7.98324e-06	1.77853e-06	3.54365e-05
-1	0	-899	6.67254e-06	2.34105e-06	3.46766e-05
